dist,GT,highRes,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml
948,25.12289138,25.288,25.28067309,21.55893539,23.92018369,24.42224167,26.95953875,27.18789228,24.4847402,16.7,21.33564612,23.69680403,24.42114446,26.93229161,27.18207126,24.48032457
949,25.09082905,25.26,25.25223383,21.5421849,23.88705468,24.40373746,26.92375313,27.16510414,24.45893853,16.8,21.32547875,23.68097338,24.40233169,26.90906421,27.1590992,24.46130265
950,25.06049464,25.2315,25.22385336,21.52503029,23.8618635,24.38544712,26.88846469,27.14231606,24.43739215,16.9,21.31543227,23.66534679,24.38373919,26.88599467,27.13613836,24.44248333
951,25.03016023,25.203,25.19553264,21.5095609,23.83270328,24.36737273,26.85368471,27.11952804,24.41305471,17,21.30550744,23.64992565,24.36536957,26.86308486,27.11318904,24.42386928
952,24.99982581,25.1745,25.16727266,21.49064207,23.80354306,24.34951641,26.82096152,27.09674007,24.40370807,17,21.29570505,23.63471132,24.34722545,26.84033666,27.09025148,24.40546315
953,24.9694914,25.146,25.13907442,21.48520459,23.80568724,24.33188024,26.79993034,27.07395216,24.37677317,17.1,21.28602585,23.61970519,24.32930944,26.81775198,27.06732598,24.3872676
954,24.93915699,25.1175,25.11093888,21.46939419,23.79600428,24.31446633,26.77437849,27.05116431,24.36795165,17.2,21.27647061,23.60490862,24.31162416,26.79533268,27.04441279,24.36928527
955,24.90882258,25.089,25.08286704,21.42043536,23.79952841,24.29727679,26.75059974,27.02837652,24.33812693,17.2,21.26704012,23.59032298,24.29417223,26.77308066,27.02151219,24.35151883
956,24.87848817,25.0605,25.05485989,21.38701858,23.73493742,24.2803137,26.75385083,27.00558879,24.33140195,17.3,21.25773513,23.57594966,24.27695626,26.7509978,26.99862444,24.33397092
957,24.84815375,25.032,25.0269184,21.3913678,23.74968213,24.26357917,26.71033457,26.98280112,24.30612649,17.4,21.24855642,23.56179003,24.25997888,26.72908599,26.97574982,24.31664419
