"","X.1","X","x","y","along","z","id","long","lat"
"91",91,62,490241.73195971,5458179.68428715,900,26.5852650383189,62,-123.134158090543,49.2762959192781
"92",92,850,490250.697007953,5458184.11894984,910,26.3146187816343,850,-123.1340349462,49.276335952812
"93",93,859,490259.662056195,5458188.55361253,920,26.0096195846453,859,-123.133911801657,49.2763759862145
"94",94,64,490268.627104438,5458192.98827523,930,25.692097077844,64,-123.133788656915,49.2764160194856
"95",95,878,490277.592152681,5458197.42293792,940,25.411452391358,878,-123.133665511973,49.2764560526254
"96",96,887,490286.557200924,5458201.85760061,950,25.090829047785,887,-123.133542366831,49.2764960856339
"97",97,66,490295.522249167,5458206.2922633,960,24.7874849303361,66,-123.13341922149,49.276536118511
"98",98,906,490304.608408327,5458210.47093514,970,24.4815697347757,906,-123.133294404689,49.2765738504991
"99",99,915,490313.722862165,5458214.58980081,980,24.2367238311673,915,-123.133169197249,49.2766110448346
"100",100,68,490322.906023202,5458218.55070985,990,23.9095556842381,68,-123.133043041197,49.276646819277
"101",101,934,490332.133357567,5458222.4100652,1000,23.655689732726,934,-123.132916275204,49.2766816807886
"102",102,943,490341.360691932,5458226.26942055,1010,23.5303913190855,943,-123.132789509032,49.276716542161
