x,y,zhighRes
489928.4527,5458025.692,28.853
489929.3517,5458026.13,28.876
489930.2507,5458026.568,28.899
489931.1497,5458027.006,28.922
489932.0487,5458027.444,28.945
489932.9478,5458027.881,28.968
489933.8468,5458028.319,28.991
489934.7458,5458028.757,29.014
489935.6448,5458029.195,29.037
489936.5438,5458029.633,29.06
489937.4428,5458030.071,29.099
489938.3418,5458030.509,29.138
489939.2408,5458030.947,29.177
489940.1398,5458031.385,29.216
489941.0388,5458031.823,29.255
489941.9378,5458032.261,29.294
489942.8368,5458032.699,29.333
489943.7358,5458033.137,29.372
489944.6348,5458033.575,29.411
489945.5339,5458034.013,29.45
489946.4329,5458034.45,29.483
489947.3319,5458034.888,29.516
489948.2309,5458035.326,29.549
489949.1299,5458035.764,29.582
489950.0289,5458036.202,29.615
489950.9279,5458036.64,29.648
489951.8269,5458037.078,29.681
489952.7259,5458037.516,29.714
489953.6249,5458037.954,29.747
489954.5239,5458038.392,29.78
489955.4229,5458038.83,29.808
489956.3219,5458039.268,29.836
489957.2209,5458039.706,29.864
489958.12,5458040.144,29.892
489959.019,5458040.582,29.92
489959.918,5458041.019,29.948
489960.817,5458041.457,29.976
489961.716,5458041.895,30.004
489962.615,5458042.333,30.032
489963.514,5458042.771,30.06
489964.413,5458043.209,30.092
489965.312,5458043.647,30.124
489966.211,5458044.085,30.156
489967.11,5458044.523,30.188
489968.009,5458044.961,30.22
489968.908,5458045.399,30.252
489969.807,5458045.837,30.284
489970.7061,5458046.275,30.316
489971.6051,5458046.713,30.348
489972.5041,5458047.151,30.38
489973.4031,5458047.588,30.408
489974.3021,5458048.026,30.436
489975.2011,5458048.464,30.464
489976.1001,5458048.902,30.492
489976.9991,5458049.34,30.52
489977.8981,5458049.778,30.548
489978.7971,5458050.216,30.576
489979.6961,5458050.654,30.604
489980.5951,5458051.092,30.632
489981.4941,5458051.53,30.66
489982.3931,5458051.968,30.682
489983.2922,5458052.406,30.704
489984.1912,5458052.844,30.726
489985.0902,5458053.282,30.748
489985.9892,5458053.72,30.77
489986.8882,5458054.158,30.792
489987.7872,5458054.595,30.814
489988.6862,5458055.033,30.836
489989.5852,5458055.471,30.858
489990.4842,5458055.909,30.88
489991.3832,5458056.347,30.917
489992.2822,5458056.785,30.954
489993.1812,5458057.223,30.991
489994.0802,5458057.661,31.028
489994.9792,5458058.099,31.065
489995.8783,5458058.537,31.102
489996.7773,5458058.975,31.139
489997.6763,5458059.413,31.176
489998.5753,5458059.851,31.213
489999.4743,5458060.289,31.25
490000.3733,5458060.727,31.274
490001.2723,5458061.164,31.298
490002.1713,5458061.602,31.322
490003.0703,5458062.04,31.346
